:END_ID(Company),annDate:date,holderFullname:string,holdRatio:double,:START_ID(Company),:TYPE
600075.SH,2020-10-16,新疆天业(集团)有限公司,53.57,600075.SH,hold_stock
600155.SH,2020-10-30,华创阳安股份有限公司-第二期员工持股计划,2.84,600155.SH,hold_stock
600301.SH,2020-10-29,南宁化工集团有限公司,32.0,600301.SH,hold_stock
600352.SH,2020-10-27,浙江龙盛集团股份有限公司-2020年员工持股计划,2.15,600352.SH,hold_stock
600367.SH,2020-10-17,中国建设银行股份有限公司-信达澳银新能源产业股票型证券投资基金,0.44,601939.SH,hold_stock
600378.SH,2020-10-29,兴业银行股份有限公司-工银瑞信新材料新能源行业股票型证券投资基金,0.22,601166.SH,hold_stock
600409.SH,2020-10-29,中国建设银行股份有限公司-博时主题行业混合型证券投资基金(LOF),1.24,601939.SH,hold_stock
600618.SH,2020-10-30,中国工商银行股份有限公司-中证上海国企交易型开放式指数证券投资基金,0.21,601398.SH,hold_stock
603010.SH,2020-10-29,上海浦东发展银行股份有限公司-广发高端制造股票型发起式证券投资基金,4.66,600000.SH,hold_stock
000627.SZ,2020-10-31,招商证券股份有限公司,0.37,600999.SH,hold_stock
000683.SZ,2020-10-30,广发证券股份有限公司-大成睿景灵活配置混合型证券投资基金,1.83,000776.SZ,hold_stock
000683.SZ,2020-10-30,中国工商银行股份有限公司-华安媒体互联网混合型证券投资基金,1.75,601398.SH,hold_stock
000683.SZ,2020-10-30,中国农业银行股份有限公司-华安智能生活混合型证券投资基金,1.18,601288.SH,hold_stock
000683.SZ,2020-10-30,中国农业银行股份有限公司-大成新锐产业混合型证券投资基金,0.82,601288.SH,hold_stock
000698.SZ,2020-10-28,沈阳化工集团有限公司,26.68,000698.SZ,hold_stock
000822.SZ,2020-10-28,中国建设银行股份有限公司-万家科创主题3年封闭运作灵活配置混合型证券投资基金,0.35,601939.SH,hold_stock
000822.SZ,2020-10-28,中国工商银行股份有限公司-万家科创板2年定期开放混合型证券投资基金,0.62,601398.SH,hold_stock
000822.SZ,2020-10-28,山东海化集团有限公司,40.34,000822.SZ,hold_stock
002014.SZ,2020-10-23,黄山永新股份有限公司-第一期员工持股计划,1.4,002014.SZ,hold_stock
002014.SZ,2020-10-23,华泰证券股份有限公司-中庚价值领航混合型证券投资基金,2.25,601688.SH,hold_stock
002014.SZ,2020-10-23,广发证券股份有限公司-中庚小盘价值股票型证券投资基金,1.02,000776.SZ,hold_stock
002053.SZ,2020-10-30,云南省能源投资集团有限公司,31.63,002053.SZ,hold_stock
002053.SZ,2020-10-30,云南能源投资股份有限公司-第一期员工持股计划,0.53,002053.SZ,hold_stock
002068.SZ,2020-10-20,国海证券股份有限公司,0.87,000750.SZ,hold_stock
002068.SZ,2020-10-20,中国工商银行-融通动力先锋混合型证券投资基金,0.91,601398.SH,hold_stock
002068.SZ,2020-10-20,中国工商银行股份有限公司-中欧匠心两年持有期混合型证券投资基金,1.25,601398.SH,hold_stock
002068.SZ,2020-10-20,中国工商银行股份有限公司-中欧精选灵活配置定期开放混合型发起式证券投资基金,1.67,601398.SH,hold_stock
002096.SZ,2020-10-29,中信证券股份有限公司,0.6,600030.SH,hold_stock
002125.SZ,2020-10-28,中国工商银行股份有限公司-南方3年封闭运作战略配售灵活配置混合型证券投资基金(LOF),0.8,601398.SH,hold_stock
002125.SZ,2020-10-28,中国银行股份有限公司-嘉实新能源新材料股票型证券投资基金,0.71,601988.SH,hold_stock
002145.SZ,2020-10-28,中核华原钛白股份有限公司-第四期员工持股计划,3.8,002145.SZ,hold_stock
002145.SZ,2020-10-28,中核华原钛白股份有限公司-第五期员工持股计划,1.96,002145.SZ,hold_stock
002145.SZ,2020-10-28,中核华原钛白股份有限公司-第3期员工持股计划,1.17,002145.SZ,hold_stock
002165.SZ,2020-10-30,红宝丽集团股份有限公司-第一期员工持股计划,0.75,002165.SZ,hold_stock
002217.SZ,2020-10-28,陕西省国际信托股份有限公司-陕国投·合力泰第一期2号员工持股集合资金信托计划,0.75,000563.SZ,hold_stock
002341.SZ,2020-10-24,深圳市新纶科技股份有限公司-第一期员工持股计划,3.09,002341.SZ,hold_stock
002386.SZ,2020-10-27,中国建设银行股份有限公司-万家科创主题3年封闭运作灵活配置混合型证券投资基金,0.68,601939.SH,hold_stock
002386.SZ,2020-10-27,中国工商银行股份有限公司-万家科创板2年定期开放混合型证券投资基金,0.61,601398.SH,hold_stock
002408.SZ,2020-10-26,陕西省国际信托股份有限公司-陕国投·鑫鑫向荣32号证券投资集合资金信托计划,0.63,000563.SZ,hold_stock
002408.SZ,2020-10-26,陕西省国际信托股份有限公司-陕国投·聚宝盆86号证券投资集合资金信托计划,0.58,000563.SZ,hold_stock
002409.SZ,2020-10-30,中国银行股份有限公司-国泰CES半导体芯片行业交易型开放式指数证券投资基金,1.03,601988.SH,hold_stock
002450.SZ,2020-10-26,中信证券股份有限公司,1.61,600030.SH,hold_stock
002450.SZ,2020-10-26,陕西省国际信托股份有限公司-陕国投·鑫鑫向荣90号证券投资集合资金信托计划,1.52,000563.SZ,hold_stock
002466.SZ,2020-10-20,中国建设银行股份有限公司-富国中证新能源汽车指数分级证券投资基金,0.66,601939.SH,hold_stock
002497.SZ,2020-10-30,交通银行股份有限公司-汇丰晋信低碳先锋股票型证券投资基金,2.7,601328.SH,hold_stock
002497.SZ,2020-10-30,新华人寿保险股份有限公司-分红-个人分红-018L-FH002深,2.0,601336.SH,hold_stock
002497.SZ,2020-10-30,交通银行股份有限公司-汇丰晋信智造先锋股票型证券投资基金,1.89,601328.SH,hold_stock
002597.SZ,2020-10-31,中国工商银行-广发稳健增长证券投资基金,1.6,601398.SH,hold_stock
002597.SZ,2020-10-31,中国光大银行股份有限公司-国投瑞银创新动力混合型证券投资基金,1.35,601818.SH,hold_stock
002597.SZ,2020-10-31,安徽金禾实业股份有限公司-第一期员工持股计划,1.08,002597.SZ,hold_stock
002597.SZ,2020-10-31,交通银行股份有限公司-华安策略优选混合型证券投资基金,0.95,601328.SH,hold_stock
002597.SZ,2020-10-31,中国银行股份有限公司-国投瑞银精选收益灵活配置混合型证券投资基金,0.76,601988.SH,hold_stock
002643.SZ,2020-10-24,交通银行股份有限公司-南方成长先锋混合型证券投资基金,1.57,601328.SH,hold_stock
002643.SZ,2020-10-24,招商银行股份有限公司-睿远成长价值混合型证券投资基金,2.24,600036.SH,hold_stock
002648.SZ,2020-10-27,中国建设银行股份有限公司-富国低碳新经济混合型证券投资基金,0.65,601939.SH,hold_stock
002669.SZ,2020-10-27,上海康达化工新材料集团股份有限公司-第一期员工持股计划,1.2,002669.SZ,hold_stock
002709.SZ,2020-10-27,中国建设银行股份有限公司-博时主题行业混合型证券投资基金(LOF),1.45,601939.SH,hold_stock
002741.SZ,2020-10-26,广东光华科技股份有限公司-第一期员工持股计划,2.82,002741.SZ,hold_stock
300019.SZ,2020-10-23,中国建设银行股份有限公司-交银施罗德成长30混合型证券投资基金,1.23,601939.SH,hold_stock
300019.SZ,2020-10-23,中国建设银行股份有限公司-交银施罗德经济新动力混合型证券投资基金,0.81,601939.SH,hold_stock
300019.SZ,2020-10-23,中国工商银行股份有限公司-海富通改革驱动灵活配置混合型证券投资基金,0.81,601398.SH,hold_stock
300031.SZ,2020-10-30,无锡宝通科技股份有限公司-第二期员工持股计划,5.0,300031.SZ,hold_stock
300037.SZ,2020-10-29,招商银行股份有限公司-睿远成长价值混合型证券投资基金,2.06,600036.SH,hold_stock
300037.SZ,2020-10-29,中国工商银行股份有限公司-中欧时代先锋股票型发起式证券投资基金,1.53,601398.SH,hold_stock
300041.SZ,2020-10-31,湖北回天新材料股份有限公司-第二期员工持股计划,2.04,300041.SZ,hold_stock
300041.SZ,2020-10-31,湖北回天新材料股份有限公司-第一期员工持股计划,4.73,300041.SZ,hold_stock
300054.SZ,2020-10-28,兴业银行股份有限公司-兴全趋势投资混合型证券投资基金,4.84,601166.SH,hold_stock
300054.SZ,2020-10-28,兴业银行股份有限公司-兴全新视野灵活配置定期开放混合型发起式证券投资基金,4.06,601166.SH,hold_stock
300054.SZ,2020-10-28,中国建设银行股份有限公司-华夏国证半导体芯片交易型开放式指数证券投资基金,2.59,601939.SH,hold_stock
300054.SZ,2020-10-28,中国银行股份有限公司-国泰CES半导体芯片行业交易型开放式指数证券投资基金,1.5,601988.SH,hold_stock
300054.SZ,2020-10-28,平安银行股份有限公司-长信可转债债券型证券投资基金,1.16,000001.SZ,hold_stock
300082.SZ,2020-10-23,广东德美精细化工集团股份有限公司,4.81,002054.SZ,hold_stock
300121.SZ,2020-10-23,中国工商银行股份有限公司-诺安先锋混合型证券投资基金,2.91,601398.SH,hold_stock
300121.SZ,2020-10-23,中国建设银行股份有限公司-银华核心价值优选混合型证券投资基金,2.24,601939.SH,hold_stock
300132.SZ,2020-10-29,中国建设银行股份有限公司-易方达消费精选股票型证券投资基金,2.68,601939.SH,hold_stock
300135.SZ,2020-10-29,中国建设银行股份有限公司-广发中证全指建筑材料指数型发起式证券投资基金,0.39,601939.SH,hold_stock
300174.SZ,2020-10-20,兴业银行股份有限公司-兴全新视野灵活配置定期开放混合型发起式证券投资基金,3.8,601166.SH,hold_stock
300174.SZ,2020-10-20,兴业银行股份有限公司-兴全趋势投资混合型证券投资基金,3.8,601166.SH,hold_stock
300236.SZ,2020-10-30,中国建设银行股份有限公司-华夏国证半导体芯片交易型开放式指数证券投资基金,2.17,601939.SH,hold_stock
300236.SZ,2020-10-30,中国银行股份有限公司-国泰CES半导体芯片行业交易型开放式指数证券投资基金,1.2,601988.SH,hold_stock
300236.SZ,2020-10-30,上海新阳半导体材料股份有限公司-第三期员工持股计划,0.86,300236.SZ,hold_stock
300285.SZ,2020-10-27,招商银行股份有限公司-睿远成长价值混合型证券投资基金,3.03,600036.SH,hold_stock
300285.SZ,2020-10-27,中国工商银行股份有限公司-富国天惠精选成长混合型证券投资基金(LOF),2.91,601398.SH,hold_stock
300285.SZ,2020-10-27,中国农业银行股份有限公司-嘉实新兴产业股票型证券投资基金,1.86,601288.SH,hold_stock
300320.SZ,2020-10-28,中信银行股份有限公司-九泰锐益定增灵活配置混合型证券投资基金,1.2,601998.SH,hold_stock
300398.SZ,2020-10-29,中国建设银行股份有限公司-华夏国证半导体芯片交易型开放式指数证券投资基金,1.61,601939.SH,hold_stock
300429.SZ,2020-10-30,招商银行股份有限公司-睿远成长价值混合型证券投资基金,0.78,600036.SH,hold_stock
300437.SZ,2020-10-27,中国工商银行-广发聚富开放式证券投资基金,1.36,601398.SH,hold_stock
300437.SZ,2020-10-27,中国工商银行股份有限公司-广发多策略灵活配置混合型证券投资基金,0.79,601398.SH,hold_stock
600050.SH,2020-10-22,中国联合网络通信集团有限公司,36.7548,600050.SH,hold_stock
600050.SH,2020-10-22,中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪,10.3,601628.SH,hold_stock
600100.SH,2020-10-30,紫光集团有限公司,2.35,000938.SZ,hold_stock
600406.SH,2020-10-31,新华人寿保险股份有限公司-分红-团体分红-018L-FH001沪,0.88,601336.SH,hold_stock
600410.SH,2020-10-28,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,0.5,601288.SH,hold_stock
600498.SH,2020-10-31,招商银行股份有限公司-博时中证央企结构调整交易型开放式指数证券投资基金,0.42,600036.SH,hold_stock
600498.SH,2020-10-31,招商银行股份有限公司-博时中证央企创新驱动交易型开放式指数证券投资基金,0.44,600036.SH,hold_stock
600498.SH,2020-10-31,中国银行股份有限公司-华夏中证5G通信主题交易型开放式指数证券投资基金,1.1,601988.SH,hold_stock
600522.SH,2020-10-31,中信银行股份有限公司-交银施罗德新生活力灵活配置混合型证券投资基金,2.04,601998.SH,hold_stock
600522.SH,2020-10-31,中国建设银行股份有限公司-交银施罗德内核驱动混合型证券投资基金,1.51,601939.SH,hold_stock
600522.SH,2020-10-31,中国农业银行股份有限公司-交银施罗德定期支付双息平衡混合型证券投资基金,0.78,601288.SH,hold_stock
600536.SH,2020-10-31,中国工商银行股份有限公司-广发双擎升级混合型证券投资基金,1.31,601398.SH,hold_stock
600536.SH,2020-10-31,中国工商银行股份有限公司-广发创新升级灵活配置混合型证券投资基金,1.03,601398.SH,hold_stock
600562.SH,2020-10-30,兴业证券股份有限公司,0.45,601377.SH,hold_stock
600562.SH,2020-10-30,中国工商银行股份有限公司-富国军工主题混合型证券投资基金,0.56,601398.SH,hold_stock
600654.SH,2020-10-31,国金证券-浦发银行-国金中安消增持1号集合资产管理计划,0.46,600109.SH,hold_stock
600734.SH,2020-10-31,中兴通讯股份有限公司,1.52,000063.SZ,hold_stock
600776.SH,2020-10-31,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,0.2,601288.SH,hold_stock
600804.SH,2020-10-31,招商银行股份有限公司-兴全合润分级混合型证券投资基金,0.97,600036.SH,hold_stock
600845.SH,2020-10-28,中信证券-中信银行-中信证券红利价值一年持有混合型集合资产管理计划,0.5,600030.SH,hold_stock
600845.SH,2020-10-28,中国工商银行股份有限公司-富国天惠精选成长混合型证券投资基金(LOF),0.78,601398.SH,hold_stock
600990.SH,2020-10-29,中国建设银行股份有限公司-鹏华中证国防指数分级证券投资基金,0.91,601939.SH,hold_stock
600990.SH,2020-10-29,中国建设银行股份有限公司-国泰中证军工交易型开放式指数证券投资基金,0.81,601939.SH,hold_stock
600990.SH,2020-10-29,中国建设银行股份有限公司-长信国防军工量化灵活配置混合型证券投资基金,0.8,601939.SH,hold_stock
603019.SH,2020-10-28,中国建设银行股份有限公司-华夏国证半导体芯片交易型开放式指数证券投资基金,2.93,601939.SH,hold_stock
603019.SH,2020-10-28,招商银行股份有限公司-银河创新成长混合型证券投资基金,2.58,600036.SH,hold_stock
603019.SH,2020-10-28,中国农业银行股份有限公司-银华内需精选混合型证券投资基金(LOF),0.64,601288.SH,hold_stock
603636.SH,2020-10-24,中国建设银行股份有限公司-信达澳银新能源产业股票型证券投资基金,0.73,601939.SH,hold_stock
000063.SZ,2020-10-29,中国银行股份有限公司-华夏中证5G通信主题交易型开放式指数证券投资基金,0.99,601988.SH,hold_stock
000063.SZ,2020-10-29,新华人寿保险股份有限公司-新传统产品2,0.93,601336.SH,hold_stock
000066.SZ,2020-10-31,中国建设银行股份有限公司-富国中证军工龙头交易型开放式指数证券投资基金,0.54,601939.SH,hold_stock
000066.SZ,2020-10-31,中国建设银行股份有限公司-鹏华中证国防指数分级证券投资基金,0.91,601939.SH,hold_stock
000547.SZ,2020-10-26,中国建设银行股份有限公司-富国中证军工指数分级证券投资基金,1.05,601939.SH,hold_stock
000547.SZ,2020-10-26,中国建设银行股份有限公司-易方达国防军工混合型证券投资基金,1.33,601939.SH,hold_stock
000547.SZ,2020-10-26,中国建设银行股份有限公司-鹏华中证国防指数分级证券投资基金,1.21,601939.SH,hold_stock
000561.SZ,2020-10-29,交通银行股份有限公司-长信量化先锋混合型证券投资基金,0.28,601328.SH,hold_stock
000561.SZ,2020-10-29,中国工商银行股份有限公司-广发中证军工交易型开放式指数证券投资基金,0.28,601398.SH,hold_stock
000561.SZ,2020-10-29,中国建设银行股份有限公司-富国中证军工龙头交易型开放式指数证券投资基金,0.46,601939.SH,hold_stock
000561.SZ,2020-10-29,中国建设银行股份有限公司-国泰中证军工交易型开放式指数证券投资基金,0.65,601939.SH,hold_stock
000561.SZ,2020-10-29,中国建设银行股份有限公司-富国中证军工指数分级证券投资基金,0.65,601939.SH,hold_stock
000801.SZ,2020-10-31,四川九洲电器集团有限责任公司,47.61,000801.SZ,hold_stock
000851.SZ,2020-10-30,中国银行股份有限公司-华夏中证5G通信主题交易型开放式指数证券投资基金,1.78,601988.SH,hold_stock
000938.SZ,2020-10-30,紫光股份有限公司-首期2号员工持股计划,3.2,000938.SZ,hold_stock
000938.SZ,2020-10-30,中国银行股份有限公司-华夏中证5G通信主题交易型开放式指数证券投资基金,0.91,601988.SH,hold_stock
000938.SZ,2020-10-30,紫光股份有限公司-首期1号员工持股计划,0.81,000938.SZ,hold_stock
000948.SZ,2020-10-23,云南南天电子信息产业股份有限公司-第一期员工持股计划,2.16,000948.SZ,hold_stock
000970.SZ,2020-10-27,中国建设银行股份有限公司-富国中证新能源汽车指数分级证券投资基金,0.89,601939.SH,hold_stock
000970.SZ,2020-10-27,中国银行股份有限公司-华夏中证新能源汽车交易型开放式指数证券投资基金,1.22,601988.SH,hold_stock
000977.SZ,2020-10-31,招商银行股份有限公司-华夏成长精选6个月定期开放混合型发起式证券投资基金,0.21,600036.SH,hold_stock
000977.SZ,2020-10-31,中国工商银行股份有限公司-易方达中证人工智能主题交易型开放式指数证券投资基金,0.24,601398.SH,hold_stock
000977.SZ,2020-10-31,中国工商银行股份有限公司-华宝中证科技龙头交易型开放式指数证券投资基金,0.27,601398.SH,hold_stock
000977.SZ,2020-10-31,招商银行股份有限公司-鹏华价值成长混合型证券投资基金,0.31,600036.SH,hold_stock
000997.SZ,2020-10-29,中国人寿保险(集团)公司-传统-普通保险产品,0.45,601628.SH,hold_stock
000997.SZ,2020-10-29,东兴证券-民生银行-东兴信鑫3号集合资产管理计划,0.68,601198.SH,hold_stock
002017.SZ,2020-10-24,中国银行股份有限公司-国泰CES半导体芯片行业交易型开放式指数证券投资基金,1.19,601988.SH,hold_stock
002027.SZ,2020-10-23,中国工商银行股份有限公司-富国创新科技混合型证券投资基金,0.82,601398.SH,hold_stock
002027.SZ,2020-10-23,招商银行股份有限公司-鹏华新兴产业混合型证券投资基金,0.89,600036.SH,hold_stock
002065.SZ,2020-10-28,东华软件股份公司-第一期员工持股计划,0.85,002065.SZ,hold_stock
002073.SZ,2020-10-29,软控股份有限公司-第一期员工持股计划,2.93,002073.SZ,hold_stock
002089.SZ,2020-10-29,陕西省国际信托股份有限公司-陕国投·祥瑞5号结构化证券投资集合资金信托计划,0.58,000563.SZ,hold_stock
002093.SZ,2020-10-29,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,0.25,601288.SH,hold_stock
